ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF209K01Q30,B251GZ,GR,OMF,7.5,730.5
INF109K01ED5,IPRU16P,DP,OMF,7.5,31.52
INF109K01761,IPDYNMIC15,GR,OMF,8.5,652.36
INF109K015K4,IPRU8004,GR,OMF,7.5,711.39
INF109K013K9,IPRU8005P,DP,OMF,7.5,50.78
INF336L01024,OEFDP,DP,OMF,7.5,44.45
INF336L01016,OEFG,GR,OMF,7.5,418.46
INF336L01CK1,OHEFDP,DP,OMF,7.5,41.69
INF336L01CM7,OHEFG,GR,OMF,7.5,459.61
INF336L01776,OIIG,GR,OMF,7.5,38.46
INF336L01784,OIIDP,DP,OMF,7.5,10.66
INF336L01DE2,OHIIG,GR,OMF,7.5,42.35
INF336L01BM9,OCAPDD,DR,GMF,10,1001.38
INF336L01BN7,OCAPG,GR,GMF,10,2405.21
INF336L01BP2,OCAPMP,DP,GMF,10,1004.77
INF336L01CC8,OHCAPG,GR,GMF,10,2424.9
INF336L01LK2,OHCPWP,DP,GMF,10,1195.49
INF336L01LJ4,OCAPWP,DP,GMF,10,1107.77
INF336L01CB0,OHCPDD,DR,GMF,10,1001.58
INF277K01EE8,TATAIFM,DP,OMF,7.5,16.62
INF277K01907,TATAIFMG,GR,OMF,7.5,49.73
INF277K01EF5,TATATIFMQ,DP,OMF,7.5,23.82
INF277K01QI3,TMIF,DP,OMF,7.5,20.03
INF277K01QH5,TMIF,GR,OMF,7.5,55.62
INF204K01FL4,RELSHORTGP,GR,OMF,8,47.9
