534,KTKBANK,INE614B01018,214.85,20
535,ORIENTCEM,INE876N01018,216.6,20
536,RAYMOND,INE301A01014,2080.9,20
537,ASIANENE,INE276G01015,282.9,20
538,POLYPLEX,INE633B01018,850.15,20
539,MUNJALSHOW,INE577A01027,156.6,20
540,KOPRAN,INE082A01010,241.05,21.06
541,FEDFINA,INE007N01010,124.95,20
542,BOMDYEING,INE032A01023,164.75,21.65
543,SENSEXETF,INF769K01KT9,72.84,8.02
544,GIPCL,INE162A01010,172.25,20
545,DAVANGERE,INE179G01011,90.4,20
546,SGBJUL28IV,IN0020200146,7112.83,10
547,STEELXIND,INE503B01021,13.6,24.4
548,TRIVENI,INE256C01024,347.85,20
549,VAKRANGEE,INE051B01021,25.25,23.42
550,IFBAGRO,INE076C01018,450.8,20
551,PSPPROJECT,INE488V01015,638.5,20
552,JASH,INE039O01011,2154.3,20
553,SGBOCT25,IN0020170059,7150,10
554,MASTEK,INE759A01021,2414.2,20
555,CARTRADE,INE290S01011,922.2,20
556,PILITA,INE600A01035,11.6,100
557,LODHA,INE670K01029,1123.65,20
558,RADICO,INE944F01028,1605.95,20
559,AVROIND,INE652Z01017,114.6,22.76
560,PERSISTENT,INE262H01021,3357.55,20
561,PANACEABIO,INE922B01023,133.1,20
562,HARRMALAYA,INE544A01019,174.3,20
563,RTNINDIA,INE834M01019,70.05,22.77
564,GALAXYSURF,INE600K01018,2454.05,20
565,VASCONEQ,INE893I01013,66.35,23.45
566,NURECA,INE0DSF01015,268.45,20
567,ACL,INE666E01020,90.1,20
568,SGBD29VIII,IN0020210228,7130,10
569,BALAXI,INE618N01014,602.9,20
570,BAIDFIN,INE020D01022,23.4,20.28
571,CHEMFAB,INE783X01023,558,24.02
572,SMALLCAP,INF769K01LC3,44.82,20
573,HBLPOWER,INE292B01021,498.5,22.79
574,HDFCNIFIT,INF179KC1IA8,33.83,20
575,JGCHEM,INE0MB501011,233.8,20
576,APCL,INE071F01012,176.5,20
577,NATCOPHARM,INE987B01026,969.6,20
578,BANDHANBNK,INE545U01014,182.8,20
579,SGBAUG28V,IN0020200161,7167.08,10
580,MIDCAP,INF174KA1IB3,140.33,6.69
581,JSFB,INE953L01027,629.6,20
582,MGL,INE002S01010,1329.75,20
583,MAHABANK,INE457A01014,63.55,20
584,GODREJIND,INE233A01035,838.6,20
585,SHRIRAMFIN,INE721A01013,2360.9,13
586,FEDERALBNK,INE171A01029,157.05,20
587,LLOYDSENGG,INE093R01011,58.2,27.9
588,SILVER1,INF174KA1KU9,81.49,20
589,DOLLAR,INE325C01035,570.4,20
590,WHEELS,INE715A01015,555.4,20
591,BFUTILITIE,INE243D01012,830.8,22.85
592,TRIL,INE763I01026,574.55,28.26
593,DIAMINESQ,INE591D01014,538.85,20
594,SGBMAY25,IN0020170018,7300,10
595,ONWARDTEC,INE229A01017,440.8,20
596,BOROLTD,INE02PY01013,344.4,20
597,HDFCSILVER,INF179KC1DI2,80.49,20
598,ALKYLAMINE,INE150B01039,1999.4,20
599,PETRONET,INE347G01014,295.95,20
600,LAXMIMACH,INE269B01029,16425.6,20
601,ESCORTS,INE042A01014,3445.35,20
